Project Name,Project ID,Created Date,Last Modified Date , Status ,# of Files in Deposit ,Total File Size ,,,,,,
  Replication data for: Sticky-Price Models and Durable Goods  ,116281,  2007-06-01T00:00:00  ,  2019-12-07T17:39:19.978Z  ,  PUBLISHED  ,35,147240,,,,,,
  Replication data for: Goodbye Lenin (or Not?): The Effect of Communism on People's Preferences  ,116293,  2007-09-01T00:00:00  ,  2019-12-07T17:42:26.957Z  ,  PUBLISHED  ,7,234826,,,,,,
  Replication data for: The Variety and Quality of a Nation's Exports  ,116051,  2005-06-01T00:00:00  ,  2019-12-06T20:31:15.098Z  ,  PUBLISHED  ,15,29357892,,,,,,
  Code and Data for: Reducing Medical Spending of the Publicly Insured: The Case for a Cash-Out Option  ,115603,  2019-11-17T22:14:53  ,  2019-11-18T03:14:52.96Z  ,  PUBLISHED  ,51,3429204,,,,,,
  Replication data for: The End of Bank Secrecy? An Evaluation of the G20 Tax Haven Crackdown  ,114853,  2014-02-01T00:00:00  ,  2019-10-13T11:54:08.021Z  ,  PUBLISHED  ,15,3440357,,,,,,
  Replication data for: State Gun Policy and Cross-State Externalities: Evidence from Crime Gun Tracing  ,114841,  2013-11-01T00:00:00  ,  2019-10-13T11:46:38.794Z  ,  PUBLISHED  ,4,522130,,,,,,
  Replication data for: Does Federal Student Aid Raise Tuition? New Evidence on For-Profit Colleges  ,114877,  2014-11-01T00:00:00  ,  2019-10-13T12:22:51.913Z  ,  PUBLISHED  ,17,29087994,,,,,,
  Replication data for: Why Beauty Matters  ,116076,  2006-03-01T00:00:00  ,  2019-12-06T20:44:04.866Z  ,  PUBLISHED  ,4,111495,,,,,,
  Replication data for: Incentives and the Supply of Effective Charter Schools  ,116197,  2019-07-01T00:00:00  ,  2019-12-07T13:09:17.412Z  ,  PUBLISHED  ,41,168669825,,,,,,
  Replication data for: Early Retirement Incentives and Student Achievement  ,114865,  2014-08-01T00:00:00  ,  2019-10-13T12:00:05.69Z  ,  PUBLISHED  ,14,1038972648,,,,,,
  Replication data for: Economic Conditions Early in Life and Individual Mortality  ,116088,  2006-03-01T00:00:00  ,  2019-12-06T20:47:52.876Z  ,  PUBLISHED  ,7,88001,,,,,,
  Replication data for: Are Two Heads Better Than One? Team versus Individual Play in Signaling Games  ,116052,  2005-06-01T00:00:00  ,  2019-12-06T20:31:31.899Z  ,  PUBLISHED  ,5,1381846,,,,,,
  Replication data for: Does Increasing Women's Schooling Raise the Schooling of the Next Generation? Reply  ,116064,  2005-12-01T00:00:00  ,  2019-12-06T20:36:26.032Z  ,  PUBLISHED  ,3,45175,,,,,,
  Replication data for: Consumers as Tax Auditors  ,116185,  2019-09-01T00:00:00  ,  2019-12-07T12:38:59.072Z  ,  PUBLISHED  ,32,207301,,,,,,
  Replication data for: Generalizing the Taylor Principle  ,116270,  2007-06-01T00:00:00  ,  2019-12-07T17:30:37.257Z  ,  PUBLISHED  ,10,43805,,,,,,
  Replication data for: The Cyclical Behavior of Equilibrium Unemployment and Vacancies  ,116040,  2005-03-01T00:00:00  ,  2019-12-06T20:28:10.972Z  ,  PUBLISHED  ,11,580234,,,,,,
  Replication data for: Capital Taxation under Political Constraints  ,116161,  2016-08-01T00:00:00  ,  2019-12-06T22:15:30.262Z  ,  PUBLISHED  ,34,768625,,,,,,
  Replication data for: Mismatch  ,116282,  2007-09-01T00:00:00  ,  2019-12-07T17:39:49.566Z  ,  PUBLISHED  ,4,214836,,,,,,
  Replication data for: Exchange Asymmetries Incorrectly Interpreted as Evidence of Endowment Effect Theory and Prospect Theory?  ,116291,  2007-09-01T00:00:00  ,  2019-12-07T17:41:48.577Z  ,  PUBLISHED  ,3,109616,,,,,,
  Replication data for: The Consumption Effects of the 2007–2008 Financial Crisis: Evidence from Households in Denmark  ,116170,  2017-11-01T00:00:00  ,  2019-12-06T22:23:57.815Z  ,  PUBLISHED  ,6,360706,,,,,,
  Replication data for: The Trade-Offs of Welfare Policies in Labor Markets with Informal Jobs: The Case of the  Seguro Popular  Program in Mexico  ,114886,  2014-11-01T00:00:00  ,  2019-10-13T12:26:31.884Z  ,  PUBLISHED  ,39,9831947,,,,,,
  Replication data for: Recessions  Older Workers  and Longevity: How Long Are Recessions Good for Your Health?  ,114874,  2014-08-01T00:00:00  ,  2019-10-13T12:19:47.196Z  ,  PUBLISHED  ,15,175733,,,,,,
  Replication data for: Politically Connected Firms  ,116085,  2006-03-01T00:00:00  ,  2019-12-06T20:47:16.17Z  ,  PUBLISHED  ,5,178686,,,,,,
  Replication data for: Did Household Consumption Become More Volatile?  ,116097,  2011-08-01T00:00:00  ,  2019-12-06T20:55:23.73Z  ,  PUBLISHED  ,8,96136123,,,,,,
  Replication data for: Civil Service Rules and Policy Choices: Evidence from US State Governments  ,114862,  2014-05-01T00:00:00  ,  2019-10-13T11:59:12.182Z  ,  PUBLISHED  ,7,1379557,,,,,,
  Replication data for: The Welfare Cost of Perceived Policy Uncertainty: Evidence from Social Security  ,116182,  2018-02-01T00:00:00  ,  2019-12-07T12:37:20.334Z  ,  PUBLISHED  ,13,25272977,,,,,,
  Replication data for: Optimal Taxation of Top Labor Incomes: A Tale of Three Elasticities  ,114850,  2014-02-01T00:00:00  ,  2019-10-13T11:52:38.419Z  ,  PUBLISHED  ,30,8210153,,,,,,
  Replication data for: Using Experimental Economics to Measure Social Capital and Predict Financial Decisions  ,116073,  2005-12-01T00:00:00  ,  2019-12-06T20:43:42.829Z  ,  PUBLISHED  ,4,1524433,,,,,,
  Replication data for: Capital Accumulation  Private Property  and Rising Inequality in China  1978–2015  ,116194,  2019-07-01T00:00:00  ,  2019-12-07T13:06:45.122Z  ,  PUBLISHED  ,7,1629785714,,,,,,
  Replication data for: Regulation  Capital  and the Evolution of Organizational Form in US Life Insurance  ,116280,  2007-06-01T00:00:00  ,  2019-12-07T17:39:09.954Z  ,  PUBLISHED  ,6,331482,,,,,,
  Data and code for Bastian (2019) “The Rise of Working Mothers and the 1975 Earned Income Tax Credit   ,115601,  2019-11-17T19:51:45  ,  2019-11-18T00:51:44.938Z  ,  PUBLISHED  ,534,4873326222,,,,,,
  Replication data for: Are Incentives for R&D Effective? Evidence from a Regression Discontinuity Approach  ,114875,  2014-11-01T00:00:00  ,  2019-10-13T12:20:13.476Z  ,  PUBLISHED  ,5,340336,,,,,,
  Replication data for: Corporate Taxes and Internal Borrowing within Multinational Firms  ,114863,  2014-05-01T00:00:00  ,  2019-10-13T11:59:23.541Z  ,  PUBLISHED  ,5,96899,,,,,,
  Data and Code For: Long Run Growth of Financial Data Technology  ,114984,  2019-10-17T08:51:46  ,  2019-10-17T12:51:46.575Z  ,  PUBLISHED  ,33,8030390,,,,,,
  Replication data for: Searching and Learning by Trial and Error  ,116098,  2011-10-01T00:00:00  ,  2019-12-06T20:55:44.774Z  ,  PUBLISHED  ,9,75075,,,,,,
  Replication data for: Cooperation under the Shadow of the Future: Experimental Evidence from Infinitely Repeated Games  ,116074,  2005-12-01T00:00:00  ,  2019-12-06T20:43:50.028Z  ,  PUBLISHED  ,5,3868480,,,,,,
  Replication data for: Parents' Beliefs about Their Children's Academic Ability: Implications for Educational Investments  ,116195,  2019-08-01T00:00:00  ,  2019-12-07T13:08:17.187Z  ,  PUBLISHED  ,17,16573960,,,,,,
  Replication data for: On the Workings of a Cartel: Evidence from the Norwegian Cement Industry  ,116086,  2006-03-01T00:00:00  ,  2019-12-06T20:47:24.075Z  ,  PUBLISHED  ,4,37022,,,,,,
  Replication data for: Airline Pricing  Price Dispersion  and Ticket Characteristics on and off the Internet  ,114851,  2014-02-01T00:00:00  ,  2019-10-13T11:53:17.686Z  ,  PUBLISHED  ,8,488699606,,,,,,
"  Replication data for: The Willingness to Pay-Willingness to Accept Gap  the  Endowment Effect Subject Misconceptions, and Experimental Procedures for Eliciting Valuations ",116050,  2005-06-01T00:00:00  ,  2019-12-06T20:31:05.224Z  ,  PUBLISHED  ,4,466821,,,,,,
  Replication data for: How Does Household Income Affect Child Personality Traits and Behaviors?  ,116183,  2018-03-01T00:00:00  ,  2019-12-07T12:37:37.793Z  ,  PUBLISHED  ,4,123984,,,,,,
  Replication data for: Surviving Andersonville: The Benefits of Social Networks in POW Camps  ,116292,  2007-09-01T00:00:00  ,  2019-12-07T17:41:58.87Z  ,  PUBLISHED  ,22,138883893,,,,,,
  Replication data for: The Doctor Might See You Now: The Supply Side Effects of Public Health Insurance Expansions  ,114790,  2012-04-01T00:00:00  ,  2019-10-13T11:13:50.436Z  ,  PUBLISHED  ,5,6059754,,,,,,
  Replication data for: Medium-Term Business Cycles  ,116218,  2006-06-01T00:00:00  ,  2019-12-07T13:47:11.653Z  ,  PUBLISHED  ,110,476253,,,,,,
  Replication data for: Credit Market Consequences of Improved Personal Identification: Field Experimental Evidence from Malawi  ,116109,  2012-05-01T00:00:00  ,  2019-12-06T21:05:34.783Z  ,  PUBLISHED  ,8,6169874,,,,,,
  Replication data for: The Impact of High School Financial Education: Evidence from a Large-Scale Evaluation in Brazil  ,116339,  2016-10-01T00:00:00  ,  2019-12-07T18:08:50.763Z  ,  PUBLISHED  ,6,48019383,,,,,,
  Replication data for: How Efficient Is Dynamic Competition? The Case of Price as Investment  ,116206,  2019-09-01T00:00:00  ,  2019-12-07T13:21:46.562Z  ,  PUBLISHED  ,223,32017576,,,,,,
  Replication data for: Debt Constraints and the Labor Wedge  ,116315,  2016-05-01T00:00:00  ,  2019-12-07T17:52:30.588Z  ,  PUBLISHED  ,103,2012610717,,,,,,
  Replication data for: Liquidity Constraints and Imperfect Information in Subprime Lending  ,116303,  2009-03-01T00:00:00  ,  2019-12-07T17:49:29.693Z  ,  PUBLISHED  ,8,194949,,,,,,
  Replication Data for: Partisan shocks and financial markets: evidence from close national elections  ,115008,  2019-10-18T14:16:55  ,  2019-10-18T18:16:55.533Z  ,  PUBLISHED  ,447,293787028,,,,,,
  Data and Code for: Forced Migration and Human Capital: Evidence from Post-WWII Population Transfers  ,115202,  2019-10-27T19:37:31  ,  2019-10-27T23:37:31.766Z  ,  PUBLISHED  ,216,6739156902,,,,,,
  Replication data for: How Do Individuals Repay Their Debt? The Balance-Matching Heuristic  ,116207,  2019-03-01T00:00:00  ,  2019-12-07T13:24:59.205Z  ,  PUBLISHED  ,23,568498,,,,,,
  Replication data for: Media Frenzies in Markets for Financial Information  ,116219,  2006-06-01T00:00:00  ,  2019-12-07T13:48:28.516Z  ,  PUBLISHED  ,3,72431,,,,,,
  Replication data for: Are Women More Credit Constrained? Experimental Evidence on Gender and Microenterprise Returns  ,116328,  2009-07-01T00:00:00  ,  2019-12-07T18:01:41.884Z  ,  PUBLISHED  ,25,12659829,,,,,,
  Replication data for: Has the Increased Attachment of Women to the Labor Market Changed a Family's Ability to Smooth Income Shocks?  ,116316,  2016-05-01T00:00:00  ,  2019-12-07T17:55:30.091Z  ,  PUBLISHED  ,12,90027309,,,,,,
  Replication data for: Distributive Politics and Electoral Incentives: Evidence from Seven US State Legislatures  ,114791,  2012-04-01T00:00:00  ,  2019-10-13T11:13:58.626Z  ,  PUBLISHED  ,6,2734913,,,,,,
  Replication data for: Spousal Control and Intra-household Decision Making: An Experimental Study in the Philippines  ,116304,  2009-09-01T00:00:00  ,  2019-12-07T17:49:40.359Z  ,  PUBLISHED  ,7,514294,,,,,,
  Replication data for: How Financial Incentives Induce Disability Insurance Recipients to Return to Work  ,116119,  2014-02-01T00:00:00  ,  2019-12-06T21:14:34.86Z  ,  PUBLISHED  ,23,379278,,,,,,
  Replication data for: Increasing Residual Wage Inequality: Composition Effects  Noisy Data  or Rising Demand for Skill?  ,116216,  2006-06-01T00:00:00  ,  2019-12-07T13:46:41.9Z  ,  PUBLISHED  ,5,227511341,,,,,,
  Replication data for: Minimum Wages and the Distribution of Family Incomes  ,116349,  2019-10-01T00:00:00  ,  2019-12-07T18:15:43.447Z  ,  PUBLISHED  ,553,4533731656,,,,,,
  Replication data for: Sinking  Swimming  or Learning to Swim in Medicare Part D  ,116107,  2012-05-01T00:00:00  ,  2019-12-06T21:03:37.875Z  ,  PUBLISHED  ,20,10657553,,,,,,
  Replication data for: The Speed of Learning in Noisy Games: Partial Reinforcement and the Sustainability of Cooperation  ,116228,  2006-09-01T00:00:00  ,  2019-12-07T13:50:18.974Z  ,  PUBLISHED  ,10,5063294,,,,,,
  Replication data for: Wealth Shocks and Health Outcomes: Evidence from Stock Market Fluctuations  ,116337,  2018-10-01T00:00:00  ,  2019-12-07T18:08:27.388Z  ,  PUBLISHED  ,5,253753,,,,,,
  Replication data for: Estimating US Consumer Gains from Chinese Imports  ,116325,  2019-09-01T00:00:00  ,  2019-12-07T17:59:45.171Z  ,  PUBLISHED  ,14,824246,,,,,,
  Replication data for: Family Health Behaviors  ,116204,  2019-09-01T00:00:00  ,  2019-12-07T13:20:33.443Z  ,  PUBLISHED  ,46,303469,,,,,,
  Replication data for: To Buy or Not to Buy: Consumer Constraints in the Housing Market  ,116313,  2016-05-01T00:00:00  ,  2019-12-07T17:51:23.467Z  ,  PUBLISHED  ,7,166254,,,,,,
  Replication data for: The Response of Household Saving to the Large Shock of German Reunification  ,116301,  2008-12-01T00:00:00  ,  2019-12-07T17:49:08.249Z  ,  PUBLISHED  ,10,177948,,,,,,
  Data and Code for: Health Recommendations and Selection in Health Behaviors  ,115212,  2019-10-29T15:22:46  ,  2019-10-29T19:22:46.403Z  ,  PUBLISHED  ,228,5737385334,,,,,,
  Data and Code for: Who Acquires Information in Dealer Markets?  ,115321,  2019-11-04T04:58:03  ,  2019-11-04T09:58:03.293Z  ,  PUBLISHED  ,37,1079744,,,,,,
  Replication data for: Is the Volatility of the Market Price of Risk Due to Intermittent Portfolio Rebalancing?  ,116108,  2012-05-01T00:00:00  ,  2019-12-06T21:04:08.982Z  ,  PUBLISHED  ,68,87346427,,,,,,
  Replication data for: Individual Preferences  Monetary Gambles  and Stock Market Participation: A Case for Narrow Framing  ,116229,  2006-09-01T00:00:00  ,  2019-12-07T13:50:30.581Z  ,  PUBLISHED  ,8,120471,,,,,,
  Replication data for: The Effect of House Prices on Household Borrowing: A New Approach  ,116205,  2019-06-01T00:00:00  ,  2019-12-07T13:21:23.902Z  ,  PUBLISHED  ,13,161149,,,,,,
  Replication data for: Do Employer Pension Contributions Reflect Employee Preferences? Evidence from a Retirement Savings Reform in Denmark  ,116338,  2016-07-01T00:00:00  ,  2019-12-07T18:08:35.896Z  ,  PUBLISHED  ,12,140541,,,,,,
  Replication data for: The World Technology Frontier  ,116217,  2006-06-01T00:00:00  ,  2019-12-07T13:47:00.339Z  ,  PUBLISHED  ,3,45906,,,,,,
  Replication data for: A Simple Model of Subprime Borrowers and Credit Growth  ,116314,  2016-05-01T00:00:00  ,  2019-12-07T17:51:32.615Z  ,  PUBLISHED  ,3,27242,,,,,,
  Replication data for: Group Identity and Social Preferences  ,116302,  2009-03-01T00:00:00  ,  2019-12-07T17:49:19.618Z  ,  PUBLISHED  ,6,1838164,,,,,,
  Data and Code for: Long-Term Care Insurance: Information Frictions and Selection  ,115322,  2019-11-04T08:49:11  ,  2019-11-04T13:49:11.33Z  ,  PUBLISHED  ,73,121001290,,,,,,
  Data and Code for: Imperfect Markets versus Imperfect Regulation in U.S. Electricity Generation  ,115467,  2019-11-11T18:12:36  ,  2019-11-11T23:12:35.991Z  ,  ,1,886928483,,,,,,
  Data and Code for: Social Ties and the Selection of China's Political Elite  ,115794,  2019-11-26T07:26:54  ,  2019-11-26T12:26:54.009Z  ,  PUBLISHED  ,6,16581126,,,,,,
  Replication data for: The Great Recession and Credit Trends across Income Groups  ,116307,  2015-05-01T00:00:00  ,  2019-12-07T17:50:07.609Z  ,  PUBLISHED  ,8,23579438,,,,,,
  Replication data for: How Children with Mental Disabilities Affect Household Investment Decisions  ,116319,  2017-05-01T00:00:00  ,  2019-12-07T17:56:04.45Z  ,  PUBLISHED  ,8,3282090,,,,,,
  Data and Code for: Turbulence  Firm Decentralization and Growth in Bad Times  ,115642,  2019-11-20T14:13:26  ,  2019-11-20T19:13:26.299Z  ,  PUBLISHED  ,11,12366652,,,,,,
  Replication data for: Inventories  Lumpy Trade  and Large Devaluations  ,116091,  2010-12-01T00:00:00  ,  2019-12-06T20:48:43.426Z  ,  PUBLISHED  ,299,212913963,,,,,,
  Replication data for: The Redistributional Impact of Nonlinear Electricity Pricing  ,114795,  2012-04-01T00:00:00  ,  2019-10-13T11:15:11.016Z  ,  PUBLISHED  ,19,252746,,,,,,
  Replication data for: The Trillion Dollar Conundrum: Complementarities and Health Information Technology  ,114880,  2014-11-01T00:00:00  ,  2019-10-13T12:24:08.087Z  ,  PUBLISHED  ,6,37034830,,,,,,
  Data and Code for: Oil  Equities  and the Zero Lower Bound  ,115982,  2019-12-05T15:26:20  ,  2019-12-05T20:26:20.748Z  ,,69,14972489,,,,,,
  Replication data for: Do Strict Capital Requirements Raise the Cost of Capital? Bank Regulation  and the Low-Risk Anomaly  ,116308,  2015-05-01T00:00:00  ,  2019-12-07T17:50:19.585Z  ,  PUBLISHED  ,5,4209041,,,,,,
  Replication data for: Psychological Pressure in Competitive Environments: Evidence from a Randomized Natural Experiment  ,116092,  2010-12-01T00:00:00  ,  2019-12-06T20:53:54.628Z  ,  PUBLISHED  ,4,272941,,,,,,
  Replication data for: Managing Growth to Achieve Efficient Coordination in Large Groups  ,116080,  2006-03-01T00:00:00  ,  2019-12-06T20:45:26.799Z  ,  PUBLISHED  ,2,56446,,,,,,
  Replication data for: Estimating Taxable Income Responses Using Danish Tax Reforms  ,114881,  2014-11-01T00:00:00  ,  2019-10-13T12:24:23.323Z  ,  PUBLISHED  ,18,1539137,,,,,,
  Replication data for: Cracks in the Melting Pot: Immigration  School Choice  and Segregation  ,114796,  2012-04-01T00:00:00  ,  2019-10-13T11:15:29.848Z  ,  PUBLISHED  ,20,360146,,,,,,
  Replication data for: Do Opposites Detract? Intrahousehold Preference Heterogeneity and Inefficient Strategic Savings  ,116329,  2015-04-01T00:00:00  ,  2019-12-07T18:02:07.862Z  ,  PUBLISHED  ,18,8696775,,,,,,
  Replication data for: Identification of and Correction for Publication Bias  ,116208,  2019-08-01T00:00:00  ,  2019-12-07T13:25:28.864Z  ,  PUBLISHED  ,65,1476533,,,,,,
  Replication data for: Medicare Part D and Portfolio Choice  ,116317,  2016-05-01T00:00:00  ,  2019-12-07T17:55:48.084Z  ,  PUBLISHED  ,5,7577531,,,,,,
  Replication data for: Check in the Mail or More in the Paycheck: Does the Effectiveness of Fiscal Stimulus Depend on How It Is Delivered?  ,114792,  2012-04-01T00:00:00  ,  2019-10-13T11:14:07.915Z  ,  PUBLISHED  ,5,2371844,,,,,,
  Replication data for: Connecting Student Loans to Labor Market Outcomes: Policy Lessons from Chile  ,116305,  2015-05-01T00:00:00  ,  2019-12-07T17:49:49.75Z  ,  PUBLISHED  ,5,908120,,,,,,
  A Theory of Experimenters: Robustness  Randomization  and Balance  ,115410,  2019-11-08T20:07:11  ,  2019-11-09T01:07:10.978Z  ,  PUBLISHED  ,10,212102,,,,,,
  Data and Code for: Revisiting the Global Decline of the (Non-Housing) Labor Share  ,115761,  2019-11-23T06:59:11  ,  2019-11-23T11:59:11.22Z  ,  PUBLISHED  ,109,950464274,,,,,,
  Code for: Estimating Platform Market Power in Two-Sided Markets with an Application to Magazine Advertising  ,115882,  2019-12-01T16:11:44  ,  2019-12-01T21:11:44.847Z  ,  ,120,4290265,,,,,,
  Data and Code for: Criminal Deterrence when there are Offsetting Risks: Traffic Cameras  Vehicular Accidents  and Public Safety  ,115107,  2019-10-23T17:35:05  ,  2019-10-23T21:35:05.242Z  ,  PUBLISHED  ,1344,25964059186,,,,,,
  Replication data for: Fiscal Spending Jobs Multipliers: Evidence from the 2009 American Recovery and Reinvestment Act  ,114793,  2012-04-01T00:00:00  ,  2019-10-13T11:14:20.529Z  ,  PUBLISHED  ,30,238788331,,,,,,
  Replication data for: Tying the Double-Knot: The Role of Assets in Marriage Commitment  ,116318,  2017-05-01T00:00:00  ,  2019-12-07T17:55:57.559Z  ,  PUBLISHED  ,2,28839,,,,,,
  Replication data for: Testing for the Disposition Effect on Optimal Stopping Decisions  ,116306,  2015-05-01T00:00:00  ,  2019-12-07T17:49:59.925Z  ,  PUBLISHED  ,3,15077,,,,,,
  Replication data for: The Sources of Capital Misallocation  ,116209,  2019-07-01T00:00:00  ,  2019-12-07T13:26:32.021Z  ,  PUBLISHED  ,25,4163954,,,,,,
  Data and Code for: Do Management Interventions Last: Evidence From India  ,115786,  2019-11-25T11:10:53  ,  2019-11-25T16:10:53.761Z  ,  ,12,20403,,,,,,
  Replication data for: Pavlovian Processes in Consumer Choice: The Physical Presence of a Good Increases Willingness-to-Pay  ,116090,  2010-09-01T00:00:00  ,  2019-12-06T20:48:13.092Z  ,  PUBLISHED  ,12,1779514,,,,,,
  Replication data for: Surviving the Global Financial Crisis: Foreign Ownership and Establishment Performance  ,114794,  2012-04-01T00:00:00  ,  2019-10-13T11:15:03.245Z  ,  PUBLISHED  ,3,38191,,,,,,
  Replication data for: Borrowing on the Wrong Credit Card? Evidence from Mexico  ,116137,  2017-04-01T00:00:00  ,  2019-12-06T21:40:38.305Z  ,  PUBLISHED  ,4,90986,,,,,,
  Replication data for: Imprecision as an Account of the Preference Reversal Phenomenon  ,116258,  2007-03-01T00:00:00  ,  2019-12-07T17:26:39.954Z  ,  PUBLISHED  ,42,302803,,,,,,
  Replication data for: Bad Beta  Good Beta  ,116028,  2004-12-01T00:00:00  ,  2019-12-06T20:20:32.107Z  ,  PUBLISHED  ,2,1188478,,,,,,
  Replication data for: Do Firms Underinvest in Long-Term Research? Evidence from Cancer Clinical Trials  ,116149,  2015-07-01T00:00:00  ,  2019-12-06T22:00:31.312Z  ,  PUBLISHED  ,12,94048119,,,,,,
  Replication data for: Barriers to Household Risk Management: Evidence from India  ,116379,  2013-01-01T00:00:00  ,  2019-12-07T19:02:11.884Z  ,  PUBLISHED  ,39,3028551,,,,,,
  Replication data for: Impatience and Uncertainty: Experimental Decisions Predict Adolescents' Field Behavior  ,116113,  2013-02-01T00:00:00  ,  2019-12-06T21:08:26.808Z  ,  PUBLISHED  ,4,123643,,,,,,
  Replication data for: Stock Prices  News  and Economic Fluctuations  ,116234,  2006-09-01T00:00:00  ,  2019-12-07T17:15:58.341Z  ,  PUBLISHED  ,16,324311,,,,,,
  Replication data for: Regulating Markups in US Health Insurance  ,116367,  2019-10-01T00:00:00  ,  2019-12-07T18:52:35.394Z  ,  PUBLISHED  ,108,3862159015,,,,,,
  Replication data for: All for One? Family Size and Children's Educational Distribution under Credit Constraints  ,116125,  2014-05-01T00:00:00  ,  2019-12-06T21:19:41.479Z  ,  PUBLISHED  ,10,13720684,,,,,,
  Replication data for: The Hidden Costs of Control  ,116246,  2006-12-01T00:00:00  ,  2019-12-07T17:21:57.169Z  ,  PUBLISHED  ,8,541588,,,,,,
  Replication data for: Reducing Child Mortality in the Last Mile: Experimental Evidence on Community Health Promoters in Uganda  ,116355,  2019-07-01T00:00:00  ,  2019-12-07T18:32:54.304Z  ,  PUBLISHED  ,37,35212984,,,,,,
  Replication Data for:  Building Nations Through Shared Experiences: Evidence from African Football   ,115011,  2019-10-18T15:32:38  ,  2019-10-18T19:32:38.074Z  ,  PUBLISHED  ,57,1064565518,,,,,,
  Replication data for: Persistent Antimarket Culture: A Legacy of the Pale of Settlement after the Holocaust  ,114828,  2013-08-01T00:00:00  ,  2019-10-13T11:38:30.379Z  ,  PUBLISHED  ,56,70878498,,,,,,
  Replication data for: How Do Mortgage Subsidies Affect Home Ownership? Evidence from the Mid-Century GI Bills  ,114816,  2013-05-01T00:00:00  ,  2019-10-13T11:25:10.139Z  ,  PUBLISHED  ,19,371604330,,,,,,
  Replication data for: Framing Social Security Reform: Behavioral Responses to Changes in the Full Retirement Age  ,114804,  2012-05-01T00:00:00  ,  2019-10-13T11:21:12.061Z  ,  PUBLISHED  ,38,260528059,,,,,,
  Replication data for: Search and Satisficing  ,116100,  2011-12-01T00:00:00  ,  2019-12-06T20:56:22.643Z  ,  PUBLISHED  ,12,3205816,,,,,,
  Replication data for: Paying Not to Go to the Gym  ,116221,  2006-06-01T00:00:00  ,  2019-12-07T13:48:45.928Z  ,  PUBLISHED  ,9,22746366,,,,,,
  Replication data for: The Impacts of Industrial and Entrepreneurial Work on Income and Health: Experimental Evidence from Ethiopia  ,116354,  2018-07-01T00:00:00  ,  2019-12-07T18:31:32.468Z  ,  PUBLISHED  ,69,224164417,,,,,,
  Replication data for: Life Insurance and Household Consumption  ,116112,  2012-12-01T00:00:00  ,  2019-12-06T21:08:03.105Z  ,  PUBLISHED  ,21,1793001,,,,,,
  Replication data for: What is Discrimination? Gender in the American Economic Association  1935-2004  ,116233,  2006-09-01T00:00:00  ,  2019-12-07T17:15:49.144Z  ,  PUBLISHED  ,5,135598,,,,,,
  Replication data for: The Economic Impact of Hurricane Katrina on Its Victims: Evidence from Individual Tax Returns  ,116342,  2018-04-01T00:00:00  ,  2019-12-07T18:09:30.884Z  ,  PUBLISHED  ,5,73047,,,,,,
  Replication data for: Incentives  Commitments  and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company  ,116330,  2015-07-01T00:00:00  ,  2019-12-07T18:02:32.62Z  ,  PUBLISHED  ,15,20068518,,,,,,
  Data and Code for: Sovereign Debt Restructurings  ,115905,  2019-12-02T15:16:41  ,  2019-12-02T20:16:41.38Z  ,  PUBLISHED  ,435,18289700910,,,,,,
  Replication data for: Who Is (More) Rational?  ,116126,  2014-06-01T00:00:00  ,  2019-12-06T21:19:56.108Z  ,  PUBLISHED  ,19,29321415,,,,,,
  Replication data for: Globalization and Emerging Markets: With or Without Crash?  ,116247,  2006-12-01T00:00:00  ,  2019-12-07T17:22:07.595Z  ,  PUBLISHED  ,3,27760,,,,,,
  Replication data for: Macroeconomic Effects of Bankruptcy and Foreclosure Policies  ,116138,  2016-08-01T00:00:00  ,  2019-12-06T21:42:02.908Z  ,  PUBLISHED  ,379,3870503595,,,,,,
  Replication data for: Do Workers Work More if Wages Are High? Evidence from a Randomized Field Experiment  ,116259,  2007-03-01T00:00:00  ,  2019-12-07T17:27:16.329Z  ,  PUBLISHED  ,8,223607,,,,,,
  Replication data for: ProPelled: The Effects of Grants on Graduation  Earnings  and Welfare  ,116368,  2019-07-01T00:00:00  ,  2019-12-07T18:58:21.036Z  ,  PUBLISHED  ,14,850851139,,,,,,
  Replication data for: The Impact of Shrouded Fees: Evidence from a Natural Experiment in the Indian Mutual Funds Market  ,116102,  2012-02-01T00:00:00  ,  2019-12-06T20:59:26.023Z  ,  PUBLISHED  ,56,24935280,,,,,,
  Replication data for: Investment Behavior  Observable Expectations  and Internal Funds  ,116223,  2006-06-01T00:00:00  ,  2019-12-07T13:49:05.742Z  ,  PUBLISHED  ,22,1669252,,,,,,
  Replication data for: Does Teacher Training Actually Work? Evidence from a Large-Scale Randomized Evaluation of a National Teacher Training Program  ,116356,  2019-07-01T00:00:00  ,  2019-12-07T18:33:37.311Z  ,  PUBLISHED  ,5,7939015,,,,,,
  Replication data for: The Effect of Language on Economic Behavior: Evidence from Savings Rates  Health Behaviors  and Retirement Assets  ,116114,  2013-04-01T00:00:00  ,  2019-12-06T21:08:39.458Z  ,  PUBLISHED  ,17,112236752,,,,,,
  Replication data for: Life-Cycle Variation in the Association between Current and Lifetime Earnings  ,116235,  2006-09-01T00:00:00  ,  2019-12-07T17:16:15.318Z  ,  PUBLISHED  ,20,407370,,,,,,
  Replication data for: Saving by Default: Evidence from a Field Experiment in Rural India  ,116344,  2018-07-01T00:00:00  ,  2019-12-07T18:09:57.719Z  ,  PUBLISHED  ,9,13103111,,,,,,
